path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
Ventana20120622/01TurkeyPond/2012-05-24 18-40-39 M 1_1.JPG___crop00_mdv4.1.jpg,3.5895147e-09,5.902572e-10,1.5296913e-09,1.1837466e-08,3.274555e-09,1.053428e-09,3.225253e-08,8.158139e-09,1.07473435e-08,3.8203936e-08,1.1032768e-07,1.3700249e-09,3.1874833e-08,8.352433e-09,1.3465739e-09,1.4147871e-09,1.1465515e-09,5.8397333e-08,6.1726686e-09,1.8485073e-08,1.666456e-07,5.0195144e-08,2.0838739e-08,7.6835593e-10,1.6298713e-08,4.3079353e-09,2.7004918e-07,3.5164367e-09,3.6238316e-07,4.980811e-09,1.0802504e-08,1.0130331e-09,4.3746735e-09,1.15485275e-08,4.1176285e-09,1.6289033e-06,3.5610104e-09,1.01508e-08,7.7430366e-07,4.7600577e-07,2.7741338e-08,3.835534e-09,3.2383703e-08,8.174588e-09,4.7970574e-09,5.2936966e-10,4.724843e-11,4.651987e-09,1.112934e-10,9.383515e-09,7.69198e-09,1.611492e-07,7.003147e-09,3.0323526e-09,1.02683835e-07,1.3888857e-07,1.2213267e-09,5.776475e-09,1.1557292e-09,2.0520046e-08,1.0172862e-07,1.4990812e-08,7.1577133e-10,2.0295599e-09,1.5290262e-09,3.8583226e-10,2.7024267e-09,5.46628e-10,2.0633864e-08,7.9607446e-08,1.8410619e-08,4.7651034e-09,8.573956e-09,1.9129185e-09,5.4371467e-09,4.1283235e-09,5.1279358e-08,1.2909036e-09,2.223702e-09,1.4458993e-07,1.9640425e-09,8.9732256e-11,6.2665264e-09,2.9884298e-08,2.0736828e-09,1.9050974e-09,6.444194e-10,2.5113122e-08,5.464219e-09,1.0223704e-08,2.8961097e-08,9.512034e-09,1.6849608e-08,2.8584845e-08,2.8348426e-09,4.785704e-10,1.1264837e-08,3.556096e-09,1.9665616e-09,6.046935e-08,9.2793917e-10,3.88663e-08,1.9154324e-07,8.805549e-10,2.0279124e-08,1.133605e-08,5.5308046e-08,8.534276e-09,7.1433493e-07,5.6781615e-09,7.537738e-09,1.434735e-07,1.1472165e-09,0.14175805,0.8582303,2.0076515e-10,1.6872175e-09,2.8392458e-10,3.077441e-08,5.713578e-09,3.5546704e-10,4.515435e-09,1.7767235e-07,1.519694e-08,1.3338395e-08,1.1260921e-09,1.5125341e-08,8.471056e-10,1.953262e-08,5.4762803e-09,8.4282514e-10,1.8021652e-06,7.635906e-09,1.0793358e-08,1.7052111e-10,1.1132494e-08,1.8673293e-10,1.0092762e-09,1.8378261e-09,1.8272504e-08,2.4640547e-08,7.6586276e-10,2.4766906e-09,1.1235863e-09,1.3907187e-09,1.3791349e-06,3.5188787e-09,3.6827085e-08,3.586953e-10,7.3761153e-09,7.172223e-11,2.5279874e-09,8.549881e-10,1.0764247e-08,5.5289723e-07,5.198441e-10,9.310168e-10,5.6591323e-09,6.7983143e-07,1.1112128e-08,6.941812e-09,9.69291e-09,1.5233905e-09,4.5807727e-09,2.7629903e-09,4.238527e-09,9.063614e-08,9.063644e-09,7.145305e-09
Ventana20120622/01TurkeyPond/2012-05-25 04-34-52 M 1_1.JPG___crop00_mdv4.1.jpg,8.634087e-08,2.440136e-08,1.2793888e-07,1.5574666e-07,3.4889656e-08,1.7036528e-07,1.6133253e-06,1.7355718e-07,3.6099243e-06,5.211313e-07,3.6333674e-07,4.2006872e-07,2.1794635e-06,7.8159485e-07,4.222408e-07,6.1306174e-08,7.4386776e-08,8.696097e-08,9.556261e-08,9.317285e-07,1.986075e-06,2.8226739e-06,2.0688635e-08,2.595949e-06,2.4501187e-06,2.8493182e-07,0.00012534825,7.846386e-08,6.9085877e-06,6.0694447e-07,1.3268365e-07,2.39368e-07,9.647138e-07,3.170724e-07,1.8242637e-06,8.603847e-06,3.6022723e-08,4.089301e-06,4.9275394e-07,0.00021626038,2.6395148e-07,1.5510987e-07,2.7776923e-07,3.6056308e-06,9.5193366e-07,7.4160184e-06,1.4011773e-08,6.901709e-07,2.9811982e-08,2.9196167e-06,1.2968125e-07,1.1266558e-07,6.583346e-07,9.0799495e-07,1.9032836e-06,1.8160212e-07,4.9858517e-07,3.1421013e-08,2.2991189e-07,7.0948715e-07,2.0722937e-06,1.4952957e-06,8.164118e-08,3.2357146e-08,2.1876336e-07,9.731368e-08,1.5512408e-07,2.2577655e-07,1.2762648e-06,6.355221e-06,9.1977813e-07,2.6323667e-06,3.128801e-08,6.4136935e-07,4.889939e-07,5.692892e-07,1.54031e-05,3.2562338e-07,3.803265e-07,3.124926e-07,3.7734952e-07,3.8723773e-08,1.8186356e-06,8.152452e-07,1.8418568e-06,7.2196656e-08,8.658325e-09,1.2803066e-07,2.3074936e-06,9.1609445e-07,6.7724827e-06,3.289393e-07,2.8546273e-07,1.2898758e-07,1.8383253e-07,1.8516977e-07,2.5923664e-06,1.1716044e-06,2.5707885e-07,3.116311e-05,8.412165e-08,3.781408e-06,1.0133126e-06,1.6544399e-07,4.2517277e-07,5.286196e-07,3.7174308e-07,7.026727e-07,2.1364447e-06,1.0719549e-06,1.3591826e-07,3.8627913e-06,5.060544e-07,0.8503177,0.14903393,1.6862987e-07,2.8510267e-06,6.285756e-07,5.7369043e-08,1.9447273e-07,5.3495867e-08,2.005091e-06,3.5256012e-06,1.1109212e-06,4.5602004e-08,9.2570886e-08,7.2430657e-06,1.9920759e-07,4.6111592e-07,3.6996782e-06,1.0423566e-06,5.909203e-07,6.0074555e-08,1.4227447e-06,5.533399e-08,3.7296462e-07,1.7904247e-08,5.213637e-08,1.5329579e-07,4.1443914e-06,1.2377441e-06,6.999836e-08,1.7394426e-07,1.4591473e-07,1.577594e-07,7.5072153e-06,3.5314123e-08,4.4561657e-06,5.4605346e-07,5.207776e-07,3.1192435e-08,1.6504183e-07,8.416237e-09,1.299403e-06,5.2211086e-05,2.998489e-08,5.691893e-07,1.5984393e-06,2.1958964e-05,7.9021095e-07,1.1372572e-06,5.269387e-06,1.3616988e-08,7.3060028e-06,4.4969056e-08,6.772734e-08,2.3274448e-07,7.810524e-07,4.213283e-08
Ventana20120622/01TurkeyPond/2012-05-25 04-34-52 M 1_1.JPG___crop01_mdv4.1.jpg,5.3049366e-06,3.456282e-05,7.465156e-05,3.1449717e-06,1.4288934e-05,1.7505581e-05,1.4665794e-05,2.8013003e-05,0.00011818167,1.7051341e-05,0.00070396985,3.338411e-05,2.044158e-05,6.8009926e-05,1.252555e-05,3.7271998e-06,9.4682255e-06,2.241239e-05,5.6559606e-05,2.1249129e-05,0.00016244667,2.3497103e-05,2.407115e-06,4.4018892e-05,0.00017375575,4.1811763e-05,0.00089825556,0.000103666855,5.386964e-05,2.6679425e-06,0.00012304839,2.1477907e-05,3.9842882e-05,5.4581856e-06,2.3591901e-05,0.002406109,8.552654e-06,2.4446243e-05,0.0025550732,0.2254021,1.3453251e-05,0.00019800446,3.7222995e-05,9.36707e-06,4.5902063e-05,2.3128512e-05,7.118735e-06,4.763369e-05,2.232594e-06,3.1162538e-06,2.389718e-06,0.0010055305,3.205825e-05,0.000100741316,0.35778204,0.0035836014,1.5382466e-05,1.9348486e-06,4.5164692e-05,6.5196596e-06,0.0004544014,0.00021810361,1.1157712e-05,3.9047663e-05,4.1579857e-05,7.736855e-06,4.9116225e-05,0.00022423413,1.8698254e-05,0.00069790025,0.00015021038,5.7677094e-06,3.3695796e-06,1.5839489e-05,1.7751705e-05,6.0130955e-05,0.00088113546,1.1716277e-05,2.217954e-05,0.00045656113,2.8368171e-05,1.890317e-05,8.073124e-06,7.996785e-05,4.7226953e-05,7.9253e-06,1.6536809e-06,6.73409e-05,5.1733005e-05,3.094975e-05,0.00018020398,2.4463432e-05,5.199805e-06,0.00018841447,4.0529754e-05,5.291476e-06,4.9092807e-05,2.8780603e-05,4.8605154e-05,0.0013182503,1.17687305e-05,3.451029e-05,5.725639e-05,8.488274e-06,5.5459986e-05,3.6198595e-05,2.7567079e-05,2.424016e-05,3.6336874e-05,0.00014013224,3.6922459e-06,0.0012196219,1.0606965e-05,0.07444436,0.28658316,1.4741479e-06,1.7529755e-05,7.926385e-07,8.950813e-06,2.7135318e-05,1.8604842e-06,0.000106518564,0.0006021443,0.00014269754,2.902206e-06,2.4966897e-05,5.801048e-05,0.00030675548,0.00035724003,2.8694849e-05,5.6920935e-06,0.000102128586,2.8886402e-06,0.00010314744,1.418109e-05,0.00024413079,1.2548309e-06,0.00020109401,0.00023633079,7.3730356e-05,9.550735e-06,1.54985e-05,4.1038784e-06,1.5490903e-05,2.3990882e-05,0.02698918,2.7327271e-06,0.00021817123,1.5876813e-05,1.4083512e-05,9.67035e-06,5.355625e-05,4.164577e-07,1.2059163e-05,0.00015469594,9.208063e-05,2.6032098e-05,1.467843e-05,4.4575336e-05,2.5615289e-05,0.0003810446,0.0015495057,4.70727e-06,0.0028623596,1.5615542e-05,5.217653e-06,8.815515e-06,7.94949e-05,1.00982315e-05
Ventana20120622/01TurkeyPond/2012-05-25 16-33-43 M 1_1.JPG___crop00_mdv4.1.jpg,6.4121934e-08,1.0401983e-07,1.7597975e-07,1.04626324e-07,6.443087e-08,1.7594753e-07,2.7875315e-06,7.4880794e-05,1.5333025e-06,4.480229e-06,2.271794e-07,4.1859853e-06,9.41224e-05,2.105938e-06,9.492722e-05,3.18843e-07,1.7764437e-07,5.950775e-07,1.6603256e-06,2.0519497e-06,9.188907e-06,3.4278553e-08,4.3670536e-07,1.4050896e-07,1.2521858e-05,2.1406036e-06,6.0065668e-05,7.154714e-07,0.00012717454,1.7513269e-06,3.495719e-07,6.187733e-07,2.2813818e-07,1.2192697e-06,1.4823003e-06,0.0005524294,2.2348334e-07,1.5612979e-05,0.00010847316,0.0008612256,6.722953e-06,1.7461236e-06,1.2606445e-06,1.5974018e-06,5.225084e-07,4.3153714e-06,2.3663608e-06,5.766369e-07,2.0966785e-07,8.089532e-06,2.1535116e-06,0.00062654837,2.6998723e-06,0.0015511244,8.492415e-07,5.3124717e-07,7.9025256e-07,2.0288796e-06,7.471351e-07,7.852376e-06,5.1995366e-06,2.0692676e-05,1.5572635e-07,5.5080022e-06,7.646895e-07,4.9552443e-07,5.3436906e-07,2.9526427e-07,3.319937e-06,2.9103088e-05,2.8080134e-05,4.9339093e-08,2.846513e-07,9.806081e-07,4.618076e-06,3.075702e-07,0.0009708614,1.8845333e-07,3.0158342e-06,0.00046289805,4.7870417e-06,7.577924e-08,5.052405e-05,4.4246563e-06,1.6584265e-06,2.7055637e-06,8.0293e-07,2.6372493e-06,1.5727752e-05,1.1319808e-05,9.55717e-07,2.2049433e-05,1.3302425e-05,3.5106862e-07,1.4257053e-05,1.036519e-06,6.4945693e-06,1.1360509e-06,1.7789877e-06,0.00014291637,4.8702977e-06,2.1969577e-06,7.3620067e-06,1.5538506e-08,4.685578e-06,4.3965392e-07,1.641959e-06,5.0706655e-07,1.4974636e-06,6.9478716e-09,4.8206452e-08,0.00038720277,2.7321653e-07,0.97885454,0.012838448,6.88585e-06,3.694413e-07,8.5518417e-07,1.789081e-05,8.787432e-07,3.319188e-07,9.538086e-07,1.2485036e-05,7.40984e-08,5.3795236e-07,1.3967224e-05,4.4964753e-07,5.3390277e-06,2.4409185e-06,7.149755e-05,3.93489e-06,1.7918524e-07,5.0401786e-06,4.1716524e-07,1.6290924e-08,2.0344838e-05,2.5137176e-06,7.5816e-07,7.5166575e-08,0.0002754869,3.2481814e-06,1.1096533e-07,2.0773346e-05,5.4819435e-07,2.6144114e-06,0.00044743242,4.064184e-05,0.00031954606,7.443107e-06,8.735722e-08,1.2781e-07,2.6237714e-07,9.193315e-08,5.3770617e-07,0.00013078573,3.268527e-07,6.722975e-07,8.9976044e-07,0.00010088927,5.9670117e-05,7.258407e-07,3.901873e-05,0.00014130956,2.5950953e-06,5.9771656e-07,4.5261442e-07,2.932016e-05,1.8870304e-06,1.2671671e-07
Ventana20120622/01TurkeyPond/2012-05-25 16-33-43 M 1_1.JPG___crop01_mdv4.1.jpg,9.928284e-05,2.2364931e-05,2.0355183e-06,1.2777228e-05,7.1763725e-07,1.2165582e-06,0.00017269833,6.925561e-05,9.18037e-06,4.415422e-06,9.650909e-05,1.768144e-07,8.941171e-05,0.00012722905,3.3764343e-05,1.9020075e-06,1.0884543e-06,5.2347124e-05,5.2576874e-05,4.384539e-06,3.9422146e-05,0.0009587762,3.5155579e-06,6.9685626e-08,2.9480805e-05,1.4523856e-05,0.0018688473,1.6386629e-07,0.0005460109,5.5103633e-06,1.5824597e-06,2.5855732e-06,1.2728622e-06,6.1553264e-06,0.000100018784,0.00019460004,6.6917473e-06,0.002647387,1.2558081e-06,1.8306224e-06,2.3053404e-05,4.5224765e-06,1.9659203e-06,5.5023816e-06,2.6686977e-05,1.0156318e-05,1.19164115e-05,1.0692437e-06,1.9844686e-08,5.0416475e-06,1.8701211e-06,2.8234848e-05,7.203337e-06,1.3185637e-05,1.0303548e-06,3.4252234e-06,1.4346328e-05,7.645131e-06,1.3163925e-05,3.4900745e-07,2.6228374e-05,3.081521e-06,1.2051544e-05,4.4888722e-07,2.6202545e-07,1.059907e-07,8.316965e-06,1.7486e-05,1.7173712e-05,3.6621338e-06,7.97714e-06,3.8571393e-06,4.3852222e-07,1.9692827e-06,1.3291531e-06,6.690806e-05,0.00044249705,2.285175e-06,1.95357e-06,5.333236e-05,8.622186e-06,3.0692365e-07,8.595942e-07,4.4563574e-05,3.1619707e-06,4.0308532e-06,1.0864964e-06,1.9686753e-05,0.00015892247,3.4481393e-06,6.581671e-06,0.00042985906,5.8512505e-05,3.8540215e-06,2.5083189e-06,4.3207942e-07,5.671399e-05,1.3950629e-05,5.6156173e-06,0.00029690625,2.501859e-06,4.365061e-07,0.0064795674,1.1317061e-05,5.710407e-06,5.3131907e-06,2.1048094e-05,2.9081916e-06,2.1570591e-05,4.160139e-06,1.0656929e-06,1.0952481e-05,8.6980646e-07,0.10851198,0.8718621,1.2286615e-05,5.625222e-06,1.6067913e-06,0.0013244229,4.662548e-06,7.106283e-06,1.30274475e-05,8.299823e-05,5.6551537e-05,4.1857356e-06,4.7503027e-06,6.0664453e-05,1.5030284e-06,9.5273035e-06,2.9921864e-06,4.4064326e-08,0.0014071972,3.4211491e-06,1.869037e-06,3.6239448e-06,5.324896e-07,3.8599785e-07,0.00011073097,2.5605636e-06,6.38295e-05,3.9572213e-05,1.2556932e-06,1.0973428e-06,3.994388e-08,3.7733e-05,0.00045511758,9.084637e-06,3.40906e-06,8.008606e-06,1.848277e-06,1.8293161e-07,2.1328212e-07,7.5540123e-07,1.378831e-05,1.0527275e-05,3.5933847e-06,1.2468954e-07,1.3209041e-06,1.6239961e-06,1.7047142e-06,8.120488e-07,1.8665573e-06,1.7531682e-05,1.6519687e-07,1.524207e-06,6.816156e-07,1.0005914e-06,2.1497062e-06,1.3265799e-06
Ventana20120622/01TurkeyPond/2012-05-25 16-33-43 M 1_1.JPG___crop02_mdv4.1.jpg,0.0026203608,0.0034741957,0.0017265566,4.7619003e-05,6.7830383e-06,0.00014317309,0.021567589,0.0002666492,8.634208e-05,7.450084e-05,0.031947136,0.00037535344,0.00037543365,0.00052998785,0.0032228283,0.00026617764,5.701553e-05,0.0010935046,0.048070062,0.00055852026,0.020451276,0.066009976,6.507803e-05,1.4765915e-06,0.001546094,0.00043905366,0.007120814,9.255342e-06,0.001287461,0.0009338765,8.9706235e-05,0.00036834067,1.898899e-05,8.51729e-05,0.0009990942,0.0061146403,0.0005169568,0.0016310582,0.0013728602,0.011208427,0.0013954906,5.3781434e-05,0.00064536405,3.216463e-05,5.323824e-06,2.5224745e-05,0.0038413617,0.0027614306,0.00011862495,0.014247694,2.1597276e-05,0.014924622,0.0017178453,0.0015018907,0.00011553361,1.5081471e-05,0.003915453,0.0002925732,0.0002305703,0.00032089764,0.00020732149,8.669522e-05,0.00017485947,0.00026778065,1.6121403e-05,0.000120176286,0.0007164706,0.00083051826,0.0001457443,0.0005129808,0.000107702326,0.00025016142,3.4616776e-05,5.322182e-05,4.5550132e-05,0.004873492,0.011106194,0.00091381755,0.00046263056,0.0015942355,0.0005168779,1.4787738e-05,0.00015391788,0.00080400234,4.2870775e-05,0.00013387519,0.0007850002,0.0010921621,0.00107619,0.0005976433,0.00038008817,0.0010759601,0.00041633513,7.015867e-05,0.0010692254,5.95388e-05,0.0011398616,0.00025295388,0.0044535086,0.11346482,0.00010295705,3.940472e-05,0.12225772,0.00041390597,0.00014423988,0.00011544022,0.00013496225,0.002496896,0.0005329966,0.0049476326,0.000229745,0.0003826632,4.5130535e-05,0.006309606,0.38259226,3.1974763e-05,0.00052107096,0.00016532894,0.0038992357,3.426311e-05,0.0003443964,9.8208584e-05,0.0009327728,0.00011590353,0.00014610501,0.000578708,0.0021799593,0.00028922863,0.00023670535,8.282304e-05,2.1285163e-05,0.0002696586,0.001286057,0.0005871849,3.1138898e-05,8.0341626e-05,1.7291255e-05,0.0043822564,0.00039614385,0.0014494099,0.00016998724,0.0001376147,4.6927613e-05,7.862342e-06,0.0022327115,0.016986165,0.002638677,0.00029251518,0.00019386658,3.155984e-05,0.00034559137,8.070655e-05,2.3595427e-05,0.0005719484,0.00049024087,0.0008440477,8.464817e-05,0.0012378369,0.00053728354,6.0584465e-05,1.3194698e-05,0.0002487398,0.00039608646,5.522047e-05,5.0312196e-05,0.00013436124,5.7464025e-05,1.0213824e-05,1.4989243e-05
